positionlabel,position
"Commerce, Industry & Trade",Q114508011
Economic Planning and Development,Q114508179
Education and Training,Q114508158
Health,Q112055107
Home Affairs,Q114508055
Housing & Urban Development,Q114508080
Information Communication & Technology,Q114507665
Justice and Constitutional Affairs,Q114507681
Labour & Social Security,Q114508166
Natural Resources & Energy,Q114508048
Public Service,Q114508172
Public Works & Transport,Q114508064
"Sports, Culture & Youth Affairs",Q114508097
Tinkhundla Administration & Development,Q114508130
Tourism and Environmental Affairs,Q114508112
