item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q106272177,Christian Ntshangase,Q114508172,Public Service,2019,2021,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q106272177-1BF07ED3-0F2E-46F8-9D4A-90A75436FD71
Q106317582,Makhosi Vilakati,Q114508166,Labour & Social Security,2019,2021,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q106317582-A78C091C-FA59-4121-9385-F377A5214A0B
Q112055121,Sibongile Ndlela-Simelane,Q112055107,Minister of Health of Eswatini,2013-10,2018-11-06,,Q112055121-4b1bba68-4ca0-56bf-d72e-5b19b35a3fe0
Q114515132,David Ngcamphalala,Q114508130,Tinkhundla Administration & Development,2018-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q114515132-672EE07B-6082-4841-90C4-E4A92AC268B7
Q114515133,Harries Madze Bulunga,Q114508097,"Sports, Culture & Youth Affairs",2018-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q114515133-CFDC8258-3007-48D8-89F4-C58BB0FC3553
Q114515136,Lady Howard Mabuza,Q114508158,Education and Training,2018-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q114515136-95596483-CF09-4F0B-BC57-4E87F1E63DD3
Q114515137,Manqoba Khumalo,Q114508011,"Commerce, Industry & Trade",2018-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q114515137-F59E5C66-0547-403F-A30B-F82DE9E014B9
Q114515138,Moses Vilakati,Q114508112,Tourism and Environmental Affairs,2018-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q114515138-6B80D9A8-308A-4944-84AC-D6F609E0452D
Q114515139,Ndlaluhlaza Ndwandwe,Q114508064,Public Works & Transport,2018-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q114515139-9DDC70E8-4D78-43AF-8EC5-B7B7EA550E68
Q114515140,Peter Bhembe,Q114508048,Natural Resources & Energy,2018-11-02,2022-02,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q114515140-6B9B54F0-0957-4DD3-9AEB-D0558879CC5D
Q114515141,Pholile Dlamini,Q114507681,Justice and Constitutional Affairs,2018-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q114515141-B438B170-B9A7-422C-BFDF-28C2124B107F
Q114515142,Prince Simelane,Q114508080,Housing & Urban Development,2018-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q114515142-C65F5F85-A805-40B5-8D53-717215D19F98
Q114515143,Princess Lindiwe,Q114508055,Home Affairs,2018-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q114515143-0EC0721B-0BC2-4159-B314-2FBEB15F27BF
Q114515144,Tambo Gina,Q114508179,Economic Planning and Development,2018-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q114515144-38A20276-53A1-44D9-B9C9-FC642118A8FE
Q114515670,Jabulani Mabuza,Q114515701,Minister of Agriculture,2018-11-02,,,Q114515670-89551CDB-8BB4-4CC2-84B3-5BA0B59A5EDA
Q16973942,Themba N. Masuku,Q114507955,Deputy Prime Minister of Eswatini,2018-11-06,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q16973942-CA13C7EF-F843-4ECE-88F1-D716F4F4A30C
Q28403455,Paul Dlamini,Q114507955,Deputy Prime Minister of Eswatini,2013,2018-11-06,,Q28403455-6A7B36B9-8EC8-4799-82C5-802844E6DB72
Q467866,Sikhanyiso Dlamini,Q114507665,Information Communication & Technology,2018-11-03,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q467866-EAA47C0D-A372-4CDA-9D7D-581272C096A6
Q57973856,Ambrose Mandvulo Dlamini,Q30101440,Prime Minister of Eswatini,2018-10-27,2020-12-13,,Q57973856-9A17AEC6-8A6E-4F96-A054-AE4EFDB4FCFB
Q64747413,Thuli Dladla,Q18204393,Foreign Affairs & International Cooperation,2018-11-02,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q64747413-3B22F835-B6FD-4E9F-830F-7CD21D200CB8
Q86753035,Neal Rijkenberg,Q98886217,Finance,2018-11,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q86753035-1F8428FA-8C2D-4429-8DFF-6CDADC67E90A
Q97156196,Lizzy Nkosi,Q112055107,Health,2018-11-06,,https://en.wikipedia.org/wiki/Cabinet_of_Eswatini,Q97156196-d78bed18-4372-4285-815d-e4a24bbca156
