item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended,holders
Q114507955,Deputy Prime Minister of Eswatini,,,Q1050,Q1050,,,3
Q98886217,Finance Minister of Eswatini,,,Q1050,,,,7
Q114515701,Minister of Agriculture,,,Q1050,Q1050,,,1
Q114508011,"Minister of Commerce, Industry and Trade of Eswatini",,,Q1050,Q1050,,,1
Q114508179,Minister of Economic Planning of Eswatini,,,Q1050,Q1050,,,2
Q114508158,Minister of Education and Training of Eswatini,,,Q1050,Q1050,,,2
Q18204393,Minister of Foreign Affairs,,,Q1050,Q1050,,,22
Q112055107,Minister of Health of Eswatini,,,Q1050,Q1050,,,2
Q114508055,Minister of Home Affairs of Eswatini,,,Q1050,Q1050,,,1
Q114508080,Minister of Housing and Urban Development of Eswatini,,,Q1050,Q1050,,,1
Q114507665,"Minister of Information, Communications and Technology",Q30261931,"Ministry of Information, Communications and Technology",Q1050,Q1050,,,1
Q114507681,Minister of Justice,Q56289995,Ministry of Justice,,Q1050,,,1
Q114508166,Minister of Labour and Social Security of Eswatini,,,Q1050,Q1050,,,2
Q114508048,Minister of Natural Resources and Energy of Eswatini,,,Q1050,Q1050,,,2
Q114508172,Minister of Public Service of Eswatini,,,Q1050,Q1050,,,2
Q114508064,Minister of Public Works and Transport of Eswatini,,,Q1050,Q1050,,,1
Q114508097,"Minister of Sports, Culture and Youth Affairs of Eswatini",,,Q1050,Q1050,,,1
Q114508130,Minister of Tinkhundla Administration and Development of Eswatini,,,Q1050,Q1050,,,1
Q114508112,Minister of Tourism and Environmental Affairs of Eswatini,,,Q1050,Q1050,,,1
Q30101440,Prime Minister of Eswatini,,,Q1050,Q1050,1967,,18
