position,title
Q29570674,Ngwenyama (King)
Q30101440,Prime Minister
Q114507955,Deputy Prime Minister
Q114508011,"Minister of Commerce, Industry and Trade"
Q114508179,Minister of Economic Planning
Q114508158,Minister of Education and Training
Q98886217,Minister of Finance
Q18204393,Minister of Foreign Affairs
Q112055107,Minister of Health
Q114508055,Minister of Home Affairs
Q114508080,Minister of Housing and Urban Development
Q114507665,"Minister of Information, Communications and Technology"
Q114507681,Minister of Justice
Q114508166,Minister of Labour and Social Security
Q114508048,Minister of Natural Resources and Energy
Q114508172,Minister of Public Service
Q114508064,Minister of Public Works and Transport
Q114508097,"Minister of Sports, Culture and Youth Affairs"
Q114508130,Minister of Tinkhundla Administration and Development
Q114508112,Minister of Tourism and Environmental Affairs Affairs
